prior_variant,note,model,family,dic,p_dic,waic,p_waic,marginal_loglik,cpo_failure_rate,diagnostics_ok,ppc_total_pass,ppc_zero_pass,ppc_max_pass,moran_p,pearson_disp,pearson_disp_camera,ppc_pit_ks,nb_size_mean,spatial_range_mean_m,spatial_sd_mean,max_abs_month_log_rate_ratio,mean_month_coef_sd,mesh_vertices,intercept_prior_mean,intercept_prior_sd,month_prior_sd,nb_logsize_prior_mean,nb_logsize_prior_sd,spatial_range_fixed_m,spatial_range_prior_range0,spatial_range_prior_prob_below,spatial_sd_prior_sigma0,spatial_sd_prior_prob_above,delta_waic,delta_dic
final_current,"final selected priors: estimated range PC prior P(range < 1000 m) = 0.5, broad spatial SD, month SD 1, NB log-size SD 2",nb_spatial_month,nbinomial,271.61593220985117,20.32694399961656,269.4478939610548,16.414732061587223,-142.68278926493107,0,TRUE,TRUE,TRUE,TRUE,0.566,0.5762300662674749,0.603146168035526,0.5269179317606449,1.9042768800322254,617.976294362679,0.8193876583665637,1.071855282531094,0.529341707115304,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,NA,1000,0.5,1.5,0.05,0.7317224874485078,0.6924464465106439
fixed_range_500,shorter fixed spatial range,nb_spatial_month,nbinomial,270.9481561040932,19.97211260252027,269.5741829656692,16.789461963994913,-141.0940766018408,0,TRUE,TRUE,TRUE,TRUE,0.587,0.5771877639829375,0.6001035092567663,0.05389757585976794,1.9808037486265213,NA,0.8210827739094478,1.0700266753056817,0.5281489928974441,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,500,500,0.5,1.5,0.05,0.8580114920629285,0.024670340752663833
fixed_range_1000,old stabilising choice: fixed 1000 m spatial range,nb_spatial_month,nbinomial,272.3928036766468,17.775582768074116,271.61067306787277,15.521965924421174,-141.6124197139574,0,TRUE,TRUE,TRUE,TRUE,0.543,0.614503798920316,0.6822027475093295,0.6973421204717625,1.4948247881837613,NA,0.8563213035510879,1.0766172208939109,0.5303685516631695,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,1000,1000,0.5,1.5,0.05,2.894501594266501,1.46931791330627
fixed_range_1500,longer fixed spatial range,nb_spatial_month,nbinomial,274.3365466339152,15.189711435479353,273.8941538319937,13.691903497420991,-142.06687520829044,0,TRUE,TRUE,TRUE,TRUE,0.858,0.675766186619363,0.792137711822124,0.987016926132031,0.9834092158693714,NA,0.8494889886616104,1.073864922263658,0.5323481488312438,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,1500,1500,0.5,1.5,0.05,5.177982358387453,3.413060870574668
fixed_range_2500,much longer fixed spatial range,nb_spatial_month,nbinomial,275.9654666427618,11.12634345884652,276.3541239076578,10.781394889764538,-142.45160517103602,0,TRUE,TRUE,TRUE,TRUE,0.685,0.7962579067551728,0.9877102871878135,0.8088271598806867,0.6158074960210547,NA,0.6514862740542328,1.0655022240196244,0.5353652118196663,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,2500,2500,0.5,1.5,0.05,7.637952434051556,5.04198087942126
estimated_range_pc1500,estimated spatial range with PC prior P(range < 1500 m) = 0.5,nb_spatial_month,nbinomial,271.957874931124,20.010104066464123,269.8195733926987,16.18381622807607,-142.94553613102343,0,TRUE,TRUE,TRUE,TRUE,0.513,0.5826418951625034,0.6181621603503521,0.5116510156460626,1.8776148831801556,742.2212849228018,0.8273491755328476,1.0742864707912587,0.5300058068449021,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,NA,1500,0.5,1.5,0.05,1.1034019190924482,1.0343891677835018
spatial_sd_tighter,"tighter spatial SD prior, P(SD > 0.85) = 0.05",nb_spatial_month,nbinomial,272.5379341726486,17.711830202998556,271.06709314518616,14.923869836804101,-143.22215529083334,0,TRUE,TRUE,TRUE,TRUE,0.915,0.6393214584511956,0.7030410942437701,0.4732579829067418,1.642175080760966,619.401330655477,0.7199254313952274,1.0624347800863123,0.5306838211654663,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,NA,1000,0.5,0.85,0.05,2.350921671579897,1.6144484093080678
spatial_sd_wider,"wider spatial SD prior, P(SD > 2.5) = 0.05",nb_spatial_month,nbinomial,271.4407637377302,21.585125280732683,268.85995514252863,17.06934479893552,-142.5168767964695,0,TRUE,TRUE,TRUE,TRUE,0.429,0.551467789255724,0.5665261195502711,0.295852497048107,2.052474927365247,628.4248917524858,0.8771407735153324,1.0757638097723379,0.5292384655058826,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,NA,1000,0.5,2.5,0.05,0.14378366892236727,0.5172779743896854
month_sd_0_5,"more regularising month-effect prior, SD 0.5 on log-rate ratios",nb_spatial_month,nbinomial,270.9234857633405,18.814820392328585,268.71617147360627,15.140960859642778,-141.57145028356948,0,TRUE,TRUE,TRUE,TRUE,0.551,0.5884396313187032,0.6072884108783835,0.5514258100616425,1.8170276882230962,615.0999655534171,0.8129707989790067,0.4188219583359049,0.37046691077484545,2493,-4.5659320813792315,2.5,0.5,0.6931471805599453,2,NA,1000,0.5,1.5,0.05,0,0
month_sd_2,"weaker month-effect prior, SD 2 on log-rate ratios",nb_spatial_month,nbinomial,271.9088598589831,21.173296544238354,269.7958149480729,17.13977937150172,-144.85525795619378,0,TRUE,TRUE,TRUE,TRUE,0.541,0.5656375057177823,0.5942611982111757,0.24202026335335244,1.897601778606066,625.4993843881921,0.8247847884801862,2.2487333159406857,0.6788889061362898,2493,-4.5659320813792315,2.5,2,0.6931471805599453,2,NA,1000,0.5,1.5,0.05,1.0796434744666499,0.9853740956425554
nb_size_median_1,NB log-size prior centered at size 1,nb_spatial_month,nbinomial,271.9684591970859,19.854930815507572,269.6381399091617,15.880783108560191,-142.64584030891214,0,TRUE,TRUE,TRUE,TRUE,0.641,0.5743070384448936,0.6079367534002789,0.3809876263186335,1.5502848005392953,625.6589086893375,0.8098688476025184,1.0672431360919048,0.5319821097239016,2493,-4.5659320813792315,2.5,1,0,2,NA,1000,0.5,1.5,0.05,0.9219684355554136,1.0449734337453833
nb_size_median_3,NB log-size prior centered at size 3,nb_spatial_month,nbinomial,271.4980145878089,20.623910744073072,269.43230505229616,16.755357807270933,-142.7376634993001,0,TRUE,TRUE,TRUE,TRUE,0.543,0.580303720579436,0.6036066412959142,0.3998231836554167,2.2943371319310173,616.8332304485851,0.826178804213441,1.0742496961763879,0.5278888163818667,2493,-4.5659320813792315,2.5,1,1.0986122886681098,2,NA,1000,0.5,1.5,0.05,0.7161335786898917,0.5745288244683593
