prior_variant,note,model,family,dic,p_dic,waic,p_waic,marginal_loglik,cpo_failure_rate,diagnostics_ok,ppc_total_pass,ppc_zero_pass,ppc_max_pass,moran_p,pearson_disp,pearson_disp_camera,ppc_pit_ks,nb_size_mean,spatial_range_mean_m,spatial_sd_mean,max_abs_month_log_rate_ratio,mean_month_coef_sd,mesh_vertices,intercept_prior_mean,intercept_prior_sd,month_prior_sd,nb_logsize_prior_mean,nb_logsize_prior_sd,spatial_range_fixed_m,spatial_range_prior_range0,spatial_range_prior_prob_below,spatial_sd_prior_sigma0,spatial_sd_prior_prob_above,delta_waic,delta_dic
final_current,"final selected priors: estimated range PC prior P(range < 1000 m) = 0.5, broad spatial SD, month SD 1, NB log-size SD 2",nb_spatial_month,nbinomial,271.62010123142824,20.329205020148947,269.45096244342557,16.415992685470073,-142.68258168358568,0,TRUE,TRUE,TRUE,TRUE,0.686,0.5763725102233328,0.6033092014554396,0.7121326628603133,1.908786011316197,617.9467191502941,0.8194670263823506,1.0718444863063816,0.5293463622034298,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,NA,1000,0.5,1.5,0.05,0.7331680839130854,0.6949469848836998
fixed_range_500,shorter fixed spatial range,nb_spatial_month,nbinomial,270.948096805197,19.972324119503526,269.57415262374104,16.789667605205526,-141.09406109309953,0,TRUE,TRUE,TRUE,TRUE,0.686,0.577186847450253,0.6001001743497961,0.4019520336838823,1.9808826308399345,NA,0.8210880368647152,1.0700283349478537,0.528147954495009,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,500,500,0.5,1.5,0.05,0.856358264228561,0.022942558652459866
fixed_range_1000,old stabilising choice: fixed 1000 m spatial range,nb_spatial_month,nbinomial,272.3929525191319,17.77563099285362,271.61070552470426,15.521908046249543,-141.61239717766765,0,TRUE,TRUE,TRUE,TRUE,0.72,0.614516053906566,0.6822186963503666,0.3806049144590782,1.4950613268737067,NA,0.856326197608393,1.0766165854820113,0.5303688337831443,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,1000,1000,0.5,1.5,0.05,2.8929111651917765,1.4677982725873449
fixed_range_1500,longer fixed spatial range,nb_spatial_month,nbinomial,274.3365466339152,15.189711435479353,273.8941538319937,13.691903497420991,-142.06687520829044,0,TRUE,TRUE,TRUE,TRUE,0.562,0.675766186619363,0.792137711822124,0.935408829235469,0.9834092158693714,NA,0.8494889886616104,1.073864922263658,0.5323481488312438,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,1500,1500,0.5,1.5,0.05,5.176359472481238,3.411392387370654
fixed_range_2500,much longer fixed spatial range,nb_spatial_month,nbinomial,275.9654578533157,11.126413564376975,276.3541109909251,10.781451131423822,-142.45160731757346,0,TRUE,TRUE,TRUE,TRUE,0.288,0.7962556377762422,0.9877066497610866,0.3912849575398434,0.6158095614494409,NA,0.6514909496792349,1.0655028550789138,0.535365082276653,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,2500,2500,0.5,1.5,0.05,7.636316631412626,5.040303606771147
estimated_range_pc1500,estimated spatial range with PC prior P(range < 1500 m) = 0.5,nb_spatial_month,nbinomial,271.957874931124,20.010104066464123,269.8195733926987,16.18381622807607,-142.94553613102343,0,TRUE,TRUE,TRUE,TRUE,0.74,0.5826418951625034,0.6181621603503521,0.46142754438790545,1.8776148831801556,742.2212849228018,0.8273491755328476,1.0742864707912587,0.5300058068449021,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,NA,1500,0.5,1.5,0.05,1.101779033186233,1.0327206845794876
spatial_sd_tighter,"tighter spatial SD prior, P(SD > 0.85) = 0.05",nb_spatial_month,nbinomial,272.53792203214016,17.711960058367936,271.06704175948727,14.923934429444689,-143.22216717914083,0,TRUE,TRUE,TRUE,TRUE,0.508,0.6393154327232995,0.7030326311738841,0.7247997569362412,1.6421060795388187,619.4475373740208,0.7199284813357818,1.0624351486131103,0.5306836445568086,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,NA,1000,0.5,0.85,0.05,2.349247399974786,1.6127677855956222
spatial_sd_wider,"wider spatial SD prior, P(SD > 2.5) = 0.05",nb_spatial_month,nbinomial,271.4414017965518,21.5836082340073,268.8611110142739,17.068646965810828,-142.51677975816236,0,TRUE,TRUE,TRUE,TRUE,0.748,0.5515155270825566,0.5665925768657167,0.9420235359824309,2.052826963737291,628.3808816436291,0.8771765241891584,1.0757600492042962,0.5292383539473923,2493,-4.5659320813792315,2.5,1,0.6931471805599453,2,NA,1000,0.5,2.5,0.05,0.14331665476140643,0.5162475500072787
month_sd_0_5,"more regularising month-effect prior, SD 0.5 on log-rate ratios",nb_spatial_month,nbinomial,270.92515424654454,18.8143547816494,268.7177943595125,15.140675481390955,-141.57136044910473,0,TRUE,TRUE,TRUE,TRUE,0.658,0.5885072969417483,0.6073750549398139,0.36985332498187706,1.8181798048436837,615.1582860641465,0.8129953793352338,0.4188168350604716,0.3704684727586934,2493,-4.5659320813792315,2.5,0.5,0.6931471805599453,2,NA,1000,0.5,1.5,0.05,0,0
month_sd_2,"weaker month-effect prior, SD 2 on log-rate ratios",nb_spatial_month,nbinomial,271.90879005667375,21.172629980566256,269.79581584246193,17.139245179199186,-144.8553249282512,0,TRUE,TRUE,TRUE,TRUE,0.714,0.5656305078358225,0.5942599917995111,0.9469124009566945,1.8972735048109468,625.5126643058638,0.8247648879716725,2.248730933144825,0.6788936584564361,2493,-4.5659320813792315,2.5,2,0.6931471805599453,2,NA,1000,0.5,1.5,0.05,1.0780214829494525,0.9836358101292149
nb_size_median_1,NB log-size prior centered at size 1,nb_spatial_month,nbinomial,271.96801258865696,19.856175584014778,269.63740114796104,15.881534906687827,-142.64586174685306,0,TRUE,TRUE,TRUE,TRUE,0.67,0.5742792831762192,0.607892459544886,0.3323200824644553,1.5502527849574725,625.6559808455779,0.8098761523452291,1.0672489508159055,0.5319794909986877,2493,-4.5659320813792315,2.5,1,0,2,NA,1000,0.5,1.5,0.05,0.9196067884485615,1.0428583421124245
nb_size_median_3,NB log-size prior centered at size 3,nb_spatial_month,nbinomial,271.4980001528791,20.623894848445474,269.4322992497517,16.755352632067332,-142.73766315906823,0,TRUE,TRUE,TRUE,TRUE,0.76,0.580303734803245,0.6036066421144713,0.5084750332350498,2.29432660972236,616.8297397710675,0.8261784326772161,1.074249757062233,0.527888775473308,2493,-4.5659320813792315,2.5,1,1.0986122886681098,2,NA,1000,0.5,1.5,0.05,0.7145048902391977,0.5728459063345781
