bin_days,lag,n_pairs,n_cameras,correlation,p_value,mean_days_between,median_days_between
7,1,63,28,-0.0723662375406748,0.5730080768835681,7,7
7,2,281,60,-0.01759725303541253,0.7689936051358606,14,14
7,3,89,29,-0.17344112285348307,0.10406581535692393,21,21
7,4,211,60,-0.1255731641656865,0.06869315829943798,28,28
7,5,80,29,0.02966727586221498,0.7939125060978459,35,35
14,1,316,60,-0.046356507984847126,0.411516839372282,14,14
14,2,257,60,-0.152755530494369,0.014233212059235625,28,28
14,3,200,60,-0.17937600985714744,0.011037575285841992,42,42
14,4,173,60,0.05714493181017393,0.4551928667592797,56,56
14,5,114,59,-0.1384993143569592,0.14168004782162588,70,70
